시설정보 에프아이디,시설정보 아이디,시설명,시설 주소,다발지역 에프아이디,다발지역 아이디,사고 종류,지점명,위도,경도,대상,거리(미터)
43111101,ZID11e2422474,청주중학교,충청북도 청주시 상당구 사직대로 361번길 125,160972,2013099,BICYCLE,충청북도 청주시 상당구 우암동(우암교회 부근),36.6476182,127.4891324,기타,546
43111101,ZID11e2422474,청주중학교,충청북도 청주시 상당구 사직대로 361번길 125,167071,2013114,JAYWALKING,충청북도 청주시 상당구 수동(우암오거리 부근),36.64645792,127.4893943,기타,457
43111101,ZID11e2422474,청주중학교,충청북도 청주시 상당구 사직대로 361번길 125,6426869,2018040,VIOLT,충청북도 청주시 상당구 영동(방아다리길삼충로 부근),36.64497704,127.4859395,기타,171
43111101,ZID11e2422474,청주중학교,충청북도 청주시 상당구 사직대로 361번길 125,6519373,2019038,BICYCLE,충청북도 청주시 상당구 북문로2가동(태웅건설 부근),36.64094011,127.4893884,기타,415
43111101,ZID11e2422474,청주중학교,충청북도 청주시 상당구 사직대로 361번길 125,6519374,2019038,BICYCLE,충청북도 청주시 상당구 북문로3가동(신쭈꾸곱창의전설 부근),36.64506062,127.4867781,기타,196
43111101,ZID51b94336bf,파랑새지역아동센터,"충청북도 청주시 상당구 중앙로61번길 39-12, 2층 (영동)",167179,2013114,JAYWALKING,충청북도 청주시 상당구 문화동(중앙시장 부근),36.63925502,127.4900889,기타,452
43111101,ZID51b94336bf,파랑새지역아동센터,"충청북도 청주시 상당구 중앙로61번길 39-12, 2층 (영동)",6222538,2016146,OLDMAN,충청북도 청주시 상당구 수동((청수빌딩) 부근),36.64040908,127.4919569,노약자,540
43111101,ZID51b94336bf,파랑새지역아동센터,"충청북도 청주시 상당구 중앙로61번길 39-12, 2층 (영동)",6426869,2018040,VIOLT,충청북도 청주시 상당구 영동(방아다리길삼충로 부근),36.64497704,127.4859395,기타,350
43111101,ZID51b94336bf,파랑새지역아동센터,"충청북도 청주시 상당구 중앙로61번길 39-12, 2층 (영동)",6519373,2019038,BICYCLE,충청북도 청주시 상당구 북문로2가동(태웅건설 부근),36.64094011,127.4893884,기타,304
43111101,ZID51b94336bf,파랑새지역아동센터,"충청북도 청주시 상당구 중앙로61번길 39-12, 2층 (영동)",6519374,2019038,BICYCLE,충청북도 청주시 상당구 북문로3가동(신쭈꾸곱창의전설 부근),36.64506062,127.4867781,기타,363
43111101,ZID8447ac39e6,주성초등학교,충청북도 청주시 상당구 교서로 45,167179,2013114,JAYWALKING,충청북도 청주시 상당구 문화동(중앙시장 부근),36.63925502,127.4900889,기타,500
43111101,ZID8447ac39e6,주성초등학교,충청북도 청주시 상당구 교서로 45,206085,2014109,BICYCLE,충청북도 청주시 상당구 북문로1가동(바이오썬큐틴(Bio) 부근),36.6365824,127.4858874,기타,543
43111101,ZID8447ac39e6,주성초등학교,충청북도 청주시 상당구 교서로 45,6426869,2018040,VIOLT,충청북도 청주시 상당구 영동(방아다리길삼충로 부근),36.64497704,127.4859395,기타,399
43111101,ZID8447ac39e6,주성초등학교,충청북도 청주시 상당구 교서로 45,6519373,2019038,BICYCLE,충청북도 청주시 상당구 북문로2가동(태웅건설 부근),36.64094011,127.4893884,기타,379
