사고다발지fid,사고다발지id,법규위반,법정동코드,지점코드,시도시군구명,지점명,사고건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도,다발지역폴리곤
6835754,2023021,중앙선침범,4311111900,43111001,충북 청주시 상당구1,충북 청주시 상당구 영운동(영운사거리 부근),3,4,0,2,2,0,127.498965591421,36.614630961576,"{""type"":""Polygon"",""coordinates"":[[[127.50166054,36.61463096],[127.50160875,36.61420895],[127.5014554,36.61380316],[127.50120636,36.61342918],[127.50087121,36.61310138],[127.50046282,36.61283236],[127.4999969,36.61263246],[127.49949135,36.61250936],[127.49896559,36.61246779],[127.49843983,36.61250936],[127.49793428,36.61263246],[127.49746836,36.61283236],[127.49705998,36.61310138],[127.49672483,36.61342918],[127.49647579,36.61380316],[127.49632243,36.61420895],[127.49627065,36.61463096],[127.49632243,36.61505297],[127.49647579,36.61545875],[127.49672483,36.61583273],[127.49705998,36.61616052],[127.49746836,36.61642953],[127.49793428,36.61662942],[127.49843983,36.61675251],[127.49896559,36.61679407],[127.49949135,36.61675251],[127.4999969,36.61662942],[127.50046282,36.61642953],[127.50087121,36.61616052],[127.50120636,36.61583273],[127.5014554,36.61545875],[127.50160875,36.61505297],[127.50166054,36.61463096]]]}"
6835383,2023021,중앙선침범,4311210700,43112001,충북 청주시 서원구1,충북 청주시 서원구 수곡동(청렴연수원사거리 부근),4,4,0,1,3,0,127.484768564278,36.619971880254,"{""type"":""Polygon"",""coordinates"":[[[127.48746351,36.61997188],[127.48741173,36.6195499],[127.48725837,36.61914414],[127.48700933,36.61877018],[127.48667418,36.6184424],[127.4862658,36.6181734],[127.48579988,36.61797351],[127.48529432,36.61785042],[127.48476856,36.61780886],[127.48424281,36.61785042],[127.48373725,36.61797351],[127.48327133,36.6181734],[127.48286295,36.6184424],[127.4825278,36.61877018],[127.48227876,36.61914414],[127.4821254,36.6195499],[127.48207362,36.61997188],[127.4821254,36.62039386],[127.48227876,36.62079962],[127.4825278,36.62117356],[127.48286295,36.62150133],[127.48327133,36.62177032],[127.48373725,36.6219702],[127.48424281,36.62209328],[127.48476856,36.62213484],[127.48529432,36.62209328],[127.48579988,36.6219702],[127.4862658,36.62177032],[127.48667418,36.62150133],[127.48700933,36.62117356],[127.48725837,36.62079962],[127.48741173,36.62039386],[127.48746351,36.61997188]]]}"
6835479,2023021,중앙선침범,4311210100,43112002,충북 청주시 서원구2,충북 청주시 서원구 사직동(삼원맨션사거리 부근),4,9,0,4,5,0,127.481895833227,36.644364871019,"{""type"":""Polygon"",""coordinates"":[[[127.48459078,36.64436487],[127.484539,36.64394303],[127.48438564,36.64353739],[127.4841366,36.64316355],[127.48380145,36.64283588],[127.48339306,36.64256696],[127.48292714,36.64236714],[127.48242159,36.64224409],[127.48189583,36.64220254],[127.48137008,36.64224409],[127.48086452,36.64236714],[127.4803986,36.64256696],[127.47999022,36.64283588],[127.47965507,36.64316355],[127.47940603,36.64353739],[127.47925267,36.64394303],[127.47920089,36.64436487],[127.47925267,36.64478671],[127.47940603,36.64519234],[127.47965507,36.64556617],[127.47999022,36.64589384],[127.4803986,36.64616274],[127.48086452,36.64636255],[127.48137008,36.6464856],[127.48189583,36.64652715],[127.48242159,36.6464856],[127.48292714,36.64636255],[127.48339306,36.64616274],[127.48380145,36.64589384],[127.4841366,36.64556617],[127.48438564,36.64519234],[127.484539,36.64478671],[127.48459078,36.64436487]]]}"
6835357,2023021,중앙선침범,4311311400,43113001,충북 청주시 흥덕구1,충북 청주시 흥덕구 복대동(기상대사거리 부근),3,3,0,1,2,0,127.44271832747,36.639110328336,"{""type"":""Polygon"",""coordinates"":[[[127.44541327,36.63911033],[127.44536149,36.63868845],[127.44520813,36.63828279],[127.44495909,36.63790892],[127.44462394,36.63758123],[127.44421556,36.63731229],[127.44374964,36.63711246],[127.44324409,36.6369894],[127.44271833,36.63694785],[127.44219257,36.6369894],[127.44168702,36.63711246],[127.4412211,36.63731229],[127.44081271,36.63758123],[127.44047756,36.63790892],[127.44022852,36.63828279],[127.44007516,36.63868845],[127.44002338,36.63911033],[127.44007516,36.6395322],[127.44022852,36.63993786],[127.44047756,36.64031171],[127.44081271,36.6406394],[127.4412211,36.64090832],[127.44168702,36.64110815],[127.44219257,36.6412312],[127.44271833,36.64127275],[127.44324409,36.6412312],[127.44374964,36.64110815],[127.44421556,36.64090832],[127.44462394,36.6406394],[127.44495909,36.64031171],[127.44520813,36.63993786],[127.44536149,36.6395322],[127.44541327,36.63911033]]]}"
6835710,2023021,중앙선침범,4311313600,43113002,충북 청주시 흥덕구2,충북 청주시 흥덕구 외북동(329- 부근),3,3,0,1,2,0,127.435744868321,36.660324093426,"{""type"":""Polygon"",""coordinates"":[[[127.43843981,36.66032409],[127.43838803,36.65990233],[127.43823467,36.65949678],[127.43798563,36.65912302],[127.43765048,36.65879541],[127.4372421,36.65852655],[127.43677618,36.65832677],[127.43627063,36.65820375],[127.43574487,36.65816221],[127.43521911,36.65820375],[127.43471356,36.65832677],[127.43424764,36.65852655],[127.43383925,36.65879541],[127.4335041,36.65912302],[127.43325506,36.65949678],[127.43310171,36.65990233],[127.43304992,36.66032409],[127.43310171,36.66074585],[127.43325506,36.6611514],[127.4335041,36.66152515],[127.43383925,36.66185274],[127.43424764,36.66212159],[127.43471356,36.66232136],[127.43521911,36.66244438],[127.43574487,36.66248592],[127.43627063,36.66244438],[127.43677618,36.66232136],[127.4372421,36.66212159],[127.43765048,36.66185274],[127.43798563,36.66152515],[127.43823467,36.6611514],[127.43838803,36.66074585],[127.43843981,36.66032409]]]}"
6835544,2023021,중앙선침범,4311311400,43113003,충북 청주시 흥덕구3,충북 청주시 흥덕구 복대동(충대정문오거리 부근),3,4,0,0,4,0,127.455582525875,36.633098931471,"{""type"":""Polygon"",""coordinates"":[[[127.45827747,36.63309893],[127.45822569,36.63267702],[127.45807233,36.63227133],[127.45782329,36.63189743],[127.45748814,36.63156971],[127.45707976,36.63130076],[127.45661384,36.6311009],[127.45610828,36.63097784],[127.45558253,36.63093628],[127.45505677,36.63097784],[127.45455121,36.6311009],[127.45408529,36.63130076],[127.45367691,36.63156971],[127.45334176,36.63189743],[127.45309272,36.63227133],[127.45293936,36.63267702],[127.45288758,36.63309893],[127.45293936,36.63352084],[127.45309272,36.63392653],[127.45334176,36.63430041],[127.45367691,36.63462812],[127.45408529,36.63489706],[127.45455121,36.63509691],[127.45505677,36.63521997],[127.45558253,36.63526152],[127.45610828,36.63521997],[127.45661384,36.63509691],[127.45707976,36.63489706],[127.45748814,36.63462812],[127.45782329,36.63430041],[127.45807233,36.63392653],[127.45822569,36.63352084],[127.45827747,36.63309893]]]}"
6835457,2023021,중앙선침범,4311311600,43113004,충북 청주시 흥덕구4,충북 청주시 흥덕구 송정동(도담어린이집 부근),3,4,0,1,2,1,127.438066154238,36.646682743562,"{""type"":""Polygon"",""coordinates"":[[[127.4407611,36.64668274],[127.44070932,36.64626091],[127.44055596,36.64585529],[127.44030692,36.64548146],[127.43997177,36.64515379],[127.43956339,36.64488489],[127.43909747,36.64468507],[127.43859191,36.64456202],[127.43806615,36.64452047],[127.4375404,36.64456202],[127.43703484,36.64468507],[127.43656892,36.64488489],[127.43616054,36.64515379],[127.43582539,36.64548146],[127.43557635,36.64585529],[127.43542299,36.64626091],[127.43537121,36.64668274],[127.43542299,36.64710457],[127.43557635,36.64751019],[127.43582539,36.64788401],[127.43616054,36.64821166],[127.43656892,36.64848056],[127.43703484,36.64868037],[127.4375404,36.64880341],[127.43806615,36.64884495],[127.43859191,36.64880341],[127.43909747,36.64868037],[127.43956339,36.64848056],[127.43997177,36.64821166],[127.44030692,36.64788401],[127.44055596,36.64751019],[127.44070932,36.64710457],[127.4407611,36.64668274]]]}"
6835467,2023021,중앙선침범,4311311300,43113005,충북 청주시 흥덕구5,충북 청주시 흥덕구 가경동(터미널주차장사거리 부근),4,4,0,0,4,0,127.433501711757,36.627418725565,"{""type"":""Polygon"",""coordinates"":[[[127.43619666,36.62741873],[127.43614487,36.62699679],[127.43599152,36.62659106],[127.43574248,36.62621714],[127.43540733,36.62588939],[127.43499894,36.62562042],[127.43453302,36.62542055],[127.43402747,36.62529747],[127.43350171,36.62525591],[127.43297595,36.62529747],[127.4324704,36.62542055],[127.43200448,36.62562042],[127.4315961,36.62588939],[127.43126095,36.62621714],[127.43101191,36.62659106],[127.43085855,36.62699679],[127.43080677,36.62741873],[127.43085855,36.62784066],[127.43101191,36.62824638],[127.43126095,36.62862029],[127.4315961,36.62894803],[127.43200448,36.62921699],[127.4324704,36.62941685],[127.43297595,36.62953992],[127.43350171,36.62958148],[127.43402747,36.62953992],[127.43453302,36.62941685],[127.43499894,36.62921699],[127.43540733,36.62894803],[127.43574248,36.62862029],[127.43599152,36.62824638],[127.43614487,36.62784066],[127.43619666,36.62741873]]]}"
6835533,2023021,중앙선침범,4311311300,43113006,충북 청주시 흥덕구6,충북 청주시 흥덕구 가경동(강서지구사거리 부근),3,4,0,1,3,0,127.431346567623,36.623481956245,"{""type"":""Polygon"",""coordinates"":[[[127.43404151,36.62348196],[127.43398973,36.62306],[127.43383637,36.62265425],[127.43358733,36.62228031],[127.43325218,36.62195255],[127.4328438,36.62168356],[127.43237788,36.62148368],[127.43187233,36.6213606],[127.43134657,36.62131903],[127.43082081,36.6213606],[127.43031526,36.62148368],[127.42984934,36.62168356],[127.42944095,36.62195255],[127.4291058,36.62228031],[127.42885676,36.62265425],[127.4287034,36.62306],[127.42865162,36.62348196],[127.4287034,36.62390391],[127.42885676,36.62430965],[127.4291058,36.62468358],[127.42944095,36.62501134],[127.42984934,36.62528031],[127.43031526,36.62548018],[127.43082081,36.62560326],[127.43134657,36.62564482],[127.43187233,36.62560326],[127.43237788,36.62548018],[127.4328438,36.62528031],[127.43325218,36.62501134],[127.43358733,36.62468358],[127.43383637,36.62430965],[127.43398973,36.62390391],[127.43404151,36.62348196]]]}"
6835624,2023021,중앙선침범,4311311500,43113007,충북 청주시 흥덕구7,충북 청주시 흥덕구 봉명동(봉덕초등학교 부근),3,4,0,2,2,0,127.460147967359,36.651373895864,"{""type"":""Polygon"",""coordinates"":[[[127.46284291,36.6513739],[127.46279113,36.65095209],[127.46263777,36.65054649],[127.46238873,36.65017268],[127.46205358,36.64984504],[127.4616452,36.64957615],[127.46117928,36.64937634],[127.46067373,36.6492533],[127.46014797,36.64921176],[127.45962221,36.6492533],[127.45911666,36.64937634],[127.45865074,36.64957615],[127.45824235,36.64984504],[127.4579072,36.65017268],[127.45765816,36.65054649],[127.4575048,36.65095209],[127.45745302,36.6513739],[127.4575048,36.6517957],[127.45765816,36.65220129],[127.4579072,36.65257509],[127.45824235,36.65290272],[127.45865074,36.6531716],[127.45911666,36.6533714],[127.45962221,36.65349443],[127.46014797,36.65353597],[127.46067373,36.65349443],[127.46117928,36.6533714],[127.4616452,36.6531716],[127.46205358,36.65290272],[127.46238873,36.65257509],[127.46263777,36.65220129],[127.46279113,36.6517957],[127.46284291,36.6513739]]]}"
