다발지역 에프아이디(FID),다발지역 아이디(ID),시도 구분 아이디(ID),시도명,시구군 구분 아이디(ID),시구군명,읍면동 구분 ID,읍면동명,사고종류,법정동 코드,지점 코드,시도시구군명,지점명,사고건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도,대상
138992,2013098,43,충청북도,113,청주흥덕구,113,가경동,OLDMAN,4311311300,43113003,충청북도 청주시 흥덕구3,충청북도 청주시 흥덕구 가경동((풍광길풍년3로) 부근),4,4,1,1,2,0,127.4342787,36.62786941,노약자
139213,2013098,43,충청북도,111,청주상당구,118,대성동,OLDMAN,4311111800,43111002,충청북도 청주시 상당구2,충청북도 청주시 상당구 대성동(시민TV사 부근),3,3,1,2,0,0,127.4964319,36.63220566,노약자
139266,2013098,43,충청북도,730,옥천군,250,옥천읍,OLDMAN,4373025036,43730001,충청북도 옥천군1,충청북도 옥천군 옥천읍(옥천입시학원 부근),3,3,0,3,0,0,127.569859,36.30241239,노약자
140481,2013097,43,충청북도,111,청주상당구,117,탑동,CHILD,4311111700,43111002,충청북도 청주시 상당구2,충청북도 청주시 상당구 탑동((굿모닝메디칼) 부근),4,6,0,3,3,0,127.5021858,36.63105628,어린이
143385,2013097,43,충청북도,111,청주상당구,124,용암동,CHILD,4311112400,43111001,충청북도 청주시 상당구1,충청북도 청주시 상당구 용암동((용성초등학교) 부근),3,3,0,2,1,0,127.5164885,36.62386518,어린이
143388,2013097,43,충청북도,113,청주흥덕구,113,가경동,CHILD,4311311300,43113002,충청북도 청주시 흥덕구2,충청북도 청주시 흥덕구 가경동((감나무골로감나무골1로) 부근),4,4,0,1,3,0,127.4431131,36.61689308,어린이
143389,2013097,43,충청북도,130,충주시,116,칠금동,CHILD,4313011600,43130001,충청북도 충주시1,충청북도 충주시 칠금동(예지의원 부근),3,4,0,1,3,0,127.9222677,36.98459738,어린이
143390,2013097,43,충청북도,150,제천시,116,장락동,CHILD,4315011600,43150001,충청북도 제천시1,충청북도 제천시 장락동((천일베리굿아파트103동) 부근),4,4,0,2,2,0,128.2253649,37.15498715,어린이
143392,2013097,43,충청북도,740,영동군,250,영동읍,CHILD,4374025021,43740001,충청북도 영동군1,충청북도 영동군 영동읍(중앙사거리 부근),4,4,0,3,1,0,127.7792507,36.17507298,어린이
150410,2013098,43,충청북도,111,청주상당구,106,남문로2가동,OLDMAN,4311110600,43111005,충청북도 청주시 상당구5,충청북도 청주시 상당구 남문로2가동(우리은행(주)청주지점 부근),4,4,1,0,3,0,127.4891365,36.63209606,노약자
150412,2013098,43,충청북도,111,청주상당구,117,탑동,OLDMAN,4311111700,43111001,충청북도 청주시 상당구1,충청북도 청주시 상당구 탑동((현대아파트105동) 부근),3,3,0,2,1,0,127.5005175,36.6316561,노약자
150417,2013098,43,충청북도,130,충주시,127,문화동,OLDMAN,4313012700,43130003,충청북도 충주시3,충청북도 충주시 문화동(돌다방 부근),3,3,2,1,0,0,127.927129,36.97331402,노약자
150418,2013098,43,충청북도,130,충주시,104,충인동,OLDMAN,4313010400,43130001,충청북도 충주시1,충청북도 충주시 충인동(화장품본사직영매점 부근),3,3,0,3,0,0,127.9307523,36.97528651,노약자
150420,2013098,43,충청북도,130,충주시,118,연수동,OLDMAN,4313011800,43130004,충청북도 충주시4,충청북도 충주시 연수동(주공2단지아파트 부근),5,7,0,5,1,1,127.9374971,36.98780303,노약자
150421,2013098,43,충청북도,130,충주시,118,연수동,OLDMAN,4313011800,43130002,충청북도 충주시2,충청북도 충주시 연수동(법원사거리 부근),3,3,1,2,0,0,127.9284796,36.9822377,노약자
150423,2013098,43,충청북도,150,제천시,111,하소동,OLDMAN,4315011100,43150001,충청북도 제천시1,충청북도 제천시 하소동((제천하소2단지주공아파트) 부근),3,3,1,2,0,0,128.1992549,37.14518705,노약자
150424,2013098,43,충청북도,150,제천시,106,중앙로1가,OLDMAN,4315010600,43150002,충청북도 제천시2,충청북도 제천시 중앙로1가((제천여성도서관) 부근),9,9,1,6,2,0,128.2119555,37.13858025,노약자
150426,2013098,43,충청북도,740,영동군,250,영동읍,OLDMAN,4374025000,43740001,충청북도 영동군1,충청북도 영동군 영동읍(중앙사거리 부근),3,3,0,3,0,0,127.7769434,36.17527863,노약자
150427,2013098,43,충청북도,800,단양군,250,단양읍,OLDMAN,4380025026,43800001,충청북도 단양군1,충청북도 단양군 단양읍(단양마을상설시장 부근),3,3,0,1,2,0,128.3698531,36.98273874,노약자
153288,2013098,43,충청북도,113,청주흥덕구,117,강서동,OLDMAN,4311311700,43113001,충청북도 청주시 흥덕구1,충청북도 청주시 흥덕구 강서동((대림아파트2동) 부근),3,3,0,3,0,0,127.4242667,36.62598722,노약자
153922,2013098,43,충청북도,111,청주상당구,111,석교동,OLDMAN,4311111100,43111004,충청북도 청주시 상당구4,충청북도 청주시 상당구 석교동(승차권판매소 부근),4,4,0,3,1,0,127.4908048,36.62761176,노약자
153925,2013098,43,충청북도,111,청주상당구,117,탑동,OLDMAN,4311111700,43111006,충청북도 청주시 상당구6,충청북도 청주시 상당구 탑동((남양빌라나동) 부근),4,4,1,2,1,0,127.4992353,36.62634754,노약자
160970,2013099,43,충청북도,111,청주상당구,105,남문로1가동,BICYCLE,4311110500,43111002,충청북도 청주시 상당구2,충청북도 청주시 상당구 남문로1가동(미스터피자 부근),4,5,0,2,3,0,127.4889648,36.63256768,기타
160976,2013099,43,충청북도,113,청주흥덕구,104,운천동,BICYCLE,4311310400,43113003,충청북도 청주시 흥덕구3,충청북도 청주시 흥덕구 운천동((한성아파트6동) 부근),4,4,0,2,2,0,127.4699916,36.65146062,기타
160977,2013099,43,충청북도,113,청주흥덕구,138,비하동,BICYCLE,4311313800,43113004,충청북도 청주시 흥덕구4,충청북도 청주시 흥덕구 비하동(지웰시티앞 부근),4,4,0,2,2,0,127.4222672,36.64261955,기타
160983,2013099,43,충청북도,113,청주흥덕구,114,복대동,BICYCLE,4311311400,43113006,충청북도 청주시 흥덕구6,충청북도 청주시 흥덕구 복대동(산업단지육거리 부근),5,6,0,1,5,0,127.4473702,36.63445452,기타
160988,2013099,43,충청북도,130,충주시,105,교현동,BICYCLE,4313010500,43130001,충청북도 충주시1,충청북도 충주시 교현동(대가미사거리 부근),4,4,0,2,2,0,127.9279307,36.97857344,기타
160990,2013099,43,충청북도,130,충주시,106,용산동,BICYCLE,4313010600,43130004,충청북도 충주시4,충청북도 충주시 용산동(88꽃화원 부근),6,9,0,5,4,0,127.933796,36.96678769,기타
160991,2013099,43,충청북도,130,충주시,104,충인동,BICYCLE,4313010400,43130003,충청북도 충주시3,충청북도 충주시 충인동(서울전통자수 부근),6,6,0,5,0,1,127.933762,36.97294676,기타
163239,2013099,43,충청북도,113,청주흥덕구,115,봉명동,BICYCLE,4311311500,43113007,충청북도 청주시 흥덕구7,충청북도 청주시 흥덕구 봉명동((송파로흥덕로) 부근),5,5,0,2,3,0,127.4604186,36.64242378,기타
163240,2013099,43,충청북도,130,충주시,127,문화동,BICYCLE,4313012700,43130002,충청북도 충주시2,충청북도 충주시 문화동(민제한의원 부근),4,4,1,1,2,0,127.9255314,36.97429903,기타
167056,2013114,43,충청북도,113,청주흥덕구,113,가경동,JAYWALKING,4311311300,431513002,충북 청주흥덕2,충청북도 청주시 흥덕구 가경동((풍산로터미널로) 부근),6,7,0,5,2,0,127.4326075,36.62673979,기타
167071,2013114,43,충청북도,111,청주상당구,112,수동,JAYWALKING,4311111200,431502006,충북 청주상당6,충청북도 청주시 상당구 수동(우암오거리 부근),5,7,0,3,4,0,127.4893943,36.64645792,기타
167088,2013114,43,충청북도,150,제천시,109,화산동,JAYWALKING,4315010900,431505001,충북 제천1,충청북도 제천시 화산동((노인정) 부근),5,5,2,2,1,0,128.2082259,37.13139242,기타
167110,2013114,43,충청북도,111,청주상당구,120,금천동,JAYWALKING,4311112000,431502005,충북 청주상당5,충청북도 청주시 상당구 금천동((남들20로남들4로) 부근),4,4,3,1,0,0,127.4926187,36.62123423,기타
167179,2013114,43,충청북도,111,청주상당구,107,문화동,JAYWALKING,4311110700,431502010,충북 청주상당10,충청북도 청주시 상당구 문화동(중앙시장 부근),7,7,1,4,2,0,127.4900889,36.63925502,기타
167284,2013114,43,충청북도,130,충주시,118,연수동,JAYWALKING,4313011800,431503001,충북 충주1,충청북도 충주시 연수동(법원사거리 부근),4,4,1,2,1,0,127.9269243,36.98238843,기타
167339,2013114,43,충청북도,111,청주상당구,110,남주동,JAYWALKING,4311111000,431502007,충북 청주상당7,충청북도 청주시 상당구 남주동(효성고무 부근),5,5,2,2,1,0,127.4843966,36.63174493,기타
167358,2013114,43,충청북도,111,청주상당구,118,대성동,JAYWALKING,4311111800,431502003,충북 청주상당3,충청북도 청주시 상당구 대성동(24시그린편의점 부근),4,4,1,2,1,0,127.4953916,36.63244001,기타
167386,2013114,43,충청북도,111,청주상당구,106,남문로2가동,JAYWALKING,4311110600,431502008,충북 청주상당8,충청북도 청주시 상당구 남문로2가동(도청사거리 부근),6,6,0,3,3,0,127.4905816,36.63471151,기타
167447,2013114,43,충청북도,111,청주상당구,117,탑동,JAYWALKING,4311111700,431502004,충북 청주상당4,충청북도 청주시 상당구 탑동(금천육거리 부근),4,4,2,0,2,0,127.4988704,36.62536333,기타
167497,2013114,43,충청북도,150,제천시,106,중앙로1가,JAYWALKING,4315010600,431505002,충북 제천2,충청북도 제천시 중앙로1가((장우동) 부근),9,9,0,8,1,0,128.2130523,37.13823218,기타
167576,2013114,43,충청북도,111,청주상당구,111,석교동,JAYWALKING,4311111100,431502012,충북 청주상당12,충청북도 청주시 상당구 석교동(갈탄난로 벽난로 전시장 부근),10,10,2,7,1,0,127.492126,36.62711198,기타
181761,2014095,43,충청북도,113,청주흥덕구,113,가경동,SCHOOLZONE,4311311300,43113002,충청북도 청주시 흥덕구2,충청북도 청주시 흥덕구 가경동(서현초교 부근),2,2,0,1,1,0,127.4308419,36.61878034,어린이
181779,2014095,43,충청북도,750,진천군,370,광혜원면,SCHOOLZONE,4375037027,43750001,충청북도 진천군1,충청북도 진천군 광혜원면(만승초교 부근),2,3,0,3,0,0,127.4409353,36.99042684,어린이
196167,2014105,43,충청북도,111,청주상당구,111,석교동,OLDMAN,4311111100,43111001,충청북도 청주시 상당구1,충청북도 청주시 상당구 석교동(윤마취통증의원 부근),4,5,0,4,1,0,127.4912441,36.62826637,노약자
