다발지역 에프아이디(FID),다발지역 아이디(ID),시도 구분 아이디(ID),시도명,시구군 구분 아이디(ID),시구군명,읍면동 구분 ID,읍면동명,사고종류,법정동 코드,지점 코드,시도시구군명,지점명,사고건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도,대상
138992,2013098,43,충청북도,113,청주흥덕구,113,가경동,OLDMAN,4311311300,43113003,충청북도 청주시 흥덕구3,충청북도 청주시 흥덕구 가경동((풍광길풍년3로) 부근),4,4,1,1,2,0,127.4342787,36.62786941,노약자
139213,2013098,43,충청북도,111,청주상당구,118,대성동,OLDMAN,4311111800,43111002,충청북도 청주시 상당구2,충청북도 청주시 상당구 대성동(시민TV사 부근),3,3,1,2,0,0,127.4964319,36.63220566,노약자
140481,2013097,43,충청북도,111,청주상당구,117,탑동,CHILD,4311111700,43111002,충청북도 청주시 상당구2,충청북도 청주시 상당구 탑동((굿모닝메디칼) 부근),4,6,0,3,3,0,127.5021858,36.63105628,어린이
143385,2013097,43,충청북도,111,청주상당구,124,용암동,CHILD,4311112400,43111001,충청북도 청주시 상당구1,충청북도 청주시 상당구 용암동((용성초등학교) 부근),3,3,0,2,1,0,127.5164885,36.62386518,어린이
143388,2013097,43,충청북도,113,청주흥덕구,113,가경동,CHILD,4311311300,43113002,충청북도 청주시 흥덕구2,충청북도 청주시 흥덕구 가경동((감나무골로감나무골1로) 부근),4,4,0,1,3,0,127.4431131,36.61689308,어린이
150410,2013098,43,충청북도,111,청주상당구,106,남문로2가동,OLDMAN,4311110600,43111005,충청북도 청주시 상당구5,충청북도 청주시 상당구 남문로2가동(우리은행(주)청주지점 부근),4,4,1,0,3,0,127.4891365,36.63209606,노약자
150412,2013098,43,충청북도,111,청주상당구,117,탑동,OLDMAN,4311111700,43111001,충청북도 청주시 상당구1,충청북도 청주시 상당구 탑동((현대아파트105동) 부근),3,3,0,2,1,0,127.5005175,36.6316561,노약자
153288,2013098,43,충청북도,113,청주흥덕구,117,강서동,OLDMAN,4311311700,43113001,충청북도 청주시 흥덕구1,충청북도 청주시 흥덕구 강서동((대림아파트2동) 부근),3,3,0,3,0,0,127.4242667,36.62598722,노약자
153922,2013098,43,충청북도,111,청주상당구,111,석교동,OLDMAN,4311111100,43111004,충청북도 청주시 상당구4,충청북도 청주시 상당구 석교동(승차권판매소 부근),4,4,0,3,1,0,127.4908048,36.62761176,노약자
153925,2013098,43,충청북도,111,청주상당구,117,탑동,OLDMAN,4311111700,43111006,충청북도 청주시 상당구6,충청북도 청주시 상당구 탑동((남양빌라나동) 부근),4,4,1,2,1,0,127.4992353,36.62634754,노약자
160970,2013099,43,충청북도,111,청주상당구,105,남문로1가동,BICYCLE,4311110500,43111002,충청북도 청주시 상당구2,충청북도 청주시 상당구 남문로1가동(미스터피자 부근),4,5,0,2,3,0,127.4889648,36.63256768,기타
160976,2013099,43,충청북도,113,청주흥덕구,104,운천동,BICYCLE,4311310400,43113003,충청북도 청주시 흥덕구3,충청북도 청주시 흥덕구 운천동((한성아파트6동) 부근),4,4,0,2,2,0,127.4699916,36.65146062,기타
160977,2013099,43,충청북도,113,청주흥덕구,138,비하동,BICYCLE,4311313800,43113004,충청북도 청주시 흥덕구4,충청북도 청주시 흥덕구 비하동(지웰시티앞 부근),4,4,0,2,2,0,127.4222672,36.64261955,기타
160983,2013099,43,충청북도,113,청주흥덕구,114,복대동,BICYCLE,4311311400,43113006,충청북도 청주시 흥덕구6,충청북도 청주시 흥덕구 복대동(산업단지육거리 부근),5,6,0,1,5,0,127.4473702,36.63445452,기타
163239,2013099,43,충청북도,113,청주흥덕구,115,봉명동,BICYCLE,4311311500,43113007,충청북도 청주시 흥덕구7,충청북도 청주시 흥덕구 봉명동((송파로흥덕로) 부근),5,5,0,2,3,0,127.4604186,36.64242378,기타
167056,2013114,43,충청북도,113,청주흥덕구,113,가경동,JAYWALKING,4311311300,431513002,충북 청주흥덕2,충청북도 청주시 흥덕구 가경동((풍산로터미널로) 부근),6,7,0,5,2,0,127.4326075,36.62673979,기타
167071,2013114,43,충청북도,111,청주상당구,112,수동,JAYWALKING,4311111200,431502006,충북 청주상당6,충청북도 청주시 상당구 수동(우암오거리 부근),5,7,0,3,4,0,127.4893943,36.64645792,기타
167110,2013114,43,충청북도,111,청주상당구,120,금천동,JAYWALKING,4311112000,431502005,충북 청주상당5,충청북도 청주시 상당구 금천동((남들20로남들4로) 부근),4,4,3,1,0,0,127.4926187,36.62123423,기타
167179,2013114,43,충청북도,111,청주상당구,107,문화동,JAYWALKING,4311110700,431502010,충북 청주상당10,충청북도 청주시 상당구 문화동(중앙시장 부근),7,7,1,4,2,0,127.4900889,36.63925502,기타
167339,2013114,43,충청북도,111,청주상당구,110,남주동,JAYWALKING,4311111000,431502007,충북 청주상당7,충청북도 청주시 상당구 남주동(효성고무 부근),5,5,2,2,1,0,127.4843966,36.63174493,기타
167358,2013114,43,충청북도,111,청주상당구,118,대성동,JAYWALKING,4311111800,431502003,충북 청주상당3,충청북도 청주시 상당구 대성동(24시그린편의점 부근),4,4,1,2,1,0,127.4953916,36.63244001,기타
167386,2013114,43,충청북도,111,청주상당구,106,남문로2가동,JAYWALKING,4311110600,431502008,충북 청주상당8,충청북도 청주시 상당구 남문로2가동(도청사거리 부근),6,6,0,3,3,0,127.4905816,36.63471151,기타
167447,2013114,43,충청북도,111,청주상당구,117,탑동,JAYWALKING,4311111700,431502004,충북 청주상당4,충청북도 청주시 상당구 탑동(금천육거리 부근),4,4,2,0,2,0,127.4988704,36.62536333,기타
167576,2013114,43,충청북도,111,청주상당구,111,석교동,JAYWALKING,4311111100,431502012,충북 청주상당12,충청북도 청주시 상당구 석교동(갈탄난로 벽난로 전시장 부근),10,10,2,7,1,0,127.492126,36.62711198,기타
181761,2014095,43,충청북도,113,청주흥덕구,113,가경동,SCHOOLZONE,4311311300,43113002,충청북도 청주시 흥덕구2,충청북도 청주시 흥덕구 가경동(서현초교 부근),2,2,0,1,1,0,127.4308419,36.61878034,어린이
196167,2014105,43,충청북도,111,청주상당구,111,석교동,OLDMAN,4311111100,43111001,충청북도 청주시 상당구1,충청북도 청주시 상당구 석교동(윤마취통증의원 부근),4,5,0,4,1,0,127.4912441,36.62826637,노약자
196168,2014105,43,충청북도,113,청주흥덕구,114,복대동,OLDMAN,4311311400,43113001,충청북도 청주시 흥덕구1,충청북도 청주시 흥덕구 복대동(복대사거리 부근),4,5,0,5,0,0,127.4407602,36.63438035,노약자
198411,2014110,43,충청북도,113,청주흥덕구,113,가경동,CHILD,4311311300,43113001,충청북도 청주시 흥덕구1,충청북도 청주시 흥덕구 가경동((송골3로통수물1로) 인근),4,4,0,1,3,0,127.4299587,36.62032943,어린이
206085,2014109,43,충청북도,111,청주상당구,102,북문로1가동,BICYCLE,4311110200,43111003,충청북도 청주시 상당구3,충청북도 청주시 상당구 북문로1가동(바이오썬큐틴(Bio) 부근),5,6,0,0,6,0,127.4858874,36.6365824,기타
206088,2014109,43,충청북도,113,청주흥덕구,138,비하동,BICYCLE,4311313800,43113008,충청북도 청주시 흥덕구8,충청북도 청주시 흥덕구 비하동(비하주유소앞 부근),4,4,0,1,3,0,127.4227682,36.63842528,기타
220254,2014117,43,충청북도,113,청주흥덕구,114,복대동,JAYWALKING,4311311400,431513002,충북 청주흥덕2,충청북도 청주시 흥덕구 복대동((대림가경아파트101동) 부근),6,6,0,4,2,0,127.4337548,36.63276901,기타
220279,2014117,43,충청북도,111,청주상당구,118,대성동,JAYWALKING,4311111800,431502002,충북 청주상당2,충청북도 청주시 상당구 대성동(삼화카정비 부근),5,5,1,3,1,0,127.4974739,36.63210611,기타
5061134,2014105,43,충청북도,113,청주흥덕구,113,가경동,OLDMAN,4311311300,43113002,충청북도 청주시 흥덕구2,충청북도 청주시 흥덕구 가경동(오복치과 부근),4,4,0,3,1,0,127.4362655,36.63279267,노약자
5356457,2014109,43,충청북도,113,청주흥덕구,114,복대동,BICYCLE,4311311400,43113005,충청북도 청주시 흥덕구5,충청북도 청주시 흥덕구 복대동(복대사거리 부근),4,4,0,2,2,0,127.4409523,36.63264183,기타
5535146,2014110,43,충청북도,113,청주흥덕구,114,복대동,CHILD,4311311400,43113004,충청북도 청주시 흥덕구4,충청북도 청주시 흥덕구 복대동(복대교 부근),3,3,0,1,2,0,127.4351673,36.63514499,어린이
5547482,2014110,43,충청북도,113,청주흥덕구,114,복대동,CHILD,4311311400,43113002,충청북도 청주시 흥덕구2,충청북도 청주시 흥덕구 복대동((구룡로하북대1로) 부근),3,4,1,2,1,0,127.4415873,36.63606784,어린이
6090171,2015042,43,충청북도,113,청주흥덕구,114,복대동,SCHOOLZONE,43113114,43113001,충청북도 청주시 흥덕구1,충청북도 청주시 흥덕구 복대동(증안초교 부근),2,2,0,2,0,0,127.4266073,36.63453193,어린이
6095528,2015046,43,충청북도,113,청주흥덕구,113,가경동,BICYCLE,4311311300,43113004,충청북도 청주시 흥덕구4,충청북도 청주시 흥덕구 가경동((풍산로터미널로) 부근),5,5,0,1,4,0,127.4320546,36.62598402,기타
6096224,2015046,43,충청북도,111,청주상당구,124,용암동,BICYCLE,4311112400,43111004,충청북도 청주시 상당구4,충청북도 청주시 상당구 용암동(방서사거리 부근),4,4,0,1,3,0,127.5009504,36.60575567,기타
6096252,2015046,43,충청북도,111,청주상당구,119,영운동,BICYCLE,4311111900,43111001,충청북도 청주시 상당구1,충청북도 청주시 상당구 영운동(영운사거리 부근),4,4,1,3,0,0,127.4993067,36.61638438,기타
6097383,2015046,43,충청북도,111,청주상당구,126,방서동,BICYCLE,4311112600,43111002,충청북도 청주시 상당구2,충청북도 청주시 상당구 방서동(금석교사거리 부근),4,4,0,3,1,0,127.4931292,36.62584754,기타
6097384,2015046,43,충청북도,111,청주상당구,109,서문동,BICYCLE,4311110900,43111003,충청북도 청주시 상당구3,충청북도 청주시 상당구 서문동((서문동새마을금고) 부근),4,4,0,3,0,1,127.486512,36.63409344,기타
6097389,2015046,43,충청북도,113,청주흥덕구,104,운천동,BICYCLE,4311310400,43113002,충청북도 청주시 흥덕구2,충청북도 청주시 흥덕구 운천동((예술2로사운로) 부근),5,7,0,4,3,0,127.4788811,36.64411361,기타
6097390,2015046,43,충청북도,113,청주흥덕구,114,복대동,BICYCLE,4311311400,43113005,충청북도 청주시 흥덕구5,충청북도 청주시 흥덕구 복대동(복대사거리 부근),4,4,0,2,2,0,127.4401859,36.63273746,기타
