사고다발지fid,사고다발지id,법정동코드,지점코드,시도시군구명,지점명,사고건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도,다발지역폴리곤
6467686,2018074,43110102,43110001,충청북도 청주시1,충청북도 청주시 서원구 사창동(주성아파트9동 인근),57,95,2,13,78,2,127.460487421458,36.6339775828,"{""type"":""Polygon"",""coordinates"":[[[127.46183489,36.63397758],[127.461809,36.63376663],[127.46173232,36.63356379],[127.4616078,36.63337684],[127.46144023,36.63321299],[127.46123604,36.63307851],[127.46100308,36.63297859],[127.4607503,36.63291705],[127.46048742,36.63289628],[127.46022454,36.63291705],[127.45997177,36.63297859],[127.45973881,36.63307851],[127.45953461,36.63321299],[127.45936704,36.63337684],[127.45924252,36.63356379],[127.45916584,36.63376663],[127.45913995,36.63397758],[127.45916584,36.63418853],[127.45924252,36.63439138],[127.45936704,36.63457832],[127.45953461,36.63474217],[127.45973881,36.63487664],[127.45997177,36.63497657],[127.46022454,36.6350381],[127.46048742,36.63505887],[127.4607503,36.6350381],[127.46100308,36.63497657],[127.46123604,36.63487664],[127.46144023,36.63474217],[127.4616078,36.63457832],[127.46173232,36.63439138],[127.461809,36.63418853],[127.46183489,36.63397758]]]}"
6467687,2018074,43110138,43110002,충청북도 청주시2,충청북도 청주시 흥덕구 비하동(가로수길진재마루길 인근),32,50,0,6,40,4,127.427443913007,36.63167010769,"{""type"":""Polygon"",""coordinates"":[[[127.42879139,36.63167011],[127.42876549,36.63145915],[127.42868882,36.6312563],[127.4285643,36.63106935],[127.42839672,36.63090549],[127.42819253,36.63077101],[127.42795957,36.63067108],[127.42770679,36.63060955],[127.42744391,36.63058877],[127.42718103,36.63060955],[127.42692826,36.63067108],[127.4266953,36.63077101],[127.42649111,36.63090549],[127.42632353,36.63106935],[127.42619901,36.6312563],[127.42612233,36.63145915],[127.42609644,36.63167011],[127.42612233,36.63188106],[127.42619901,36.63208391],[127.42632353,36.63227086],[127.42649111,36.63243472],[127.4266953,36.6325692],[127.42692826,36.63266912],[127.42718103,36.63273065],[127.42744391,36.63275143],[127.42770679,36.63273065],[127.42795957,36.63266912],[127.42819253,36.6325692],[127.42839672,36.63243472],[127.4285643,36.63227086],[127.42868882,36.63208391],[127.42876549,36.63188106],[127.42879139,36.63167011]]]}"
6467688,2018074,43110115,43110003,충청북도 청주시3,충청북도 청주시 흥덕구 봉명동(봉명사거리 인근),32,56,0,3,53,0,127.462445108856,36.643056519444,"{""type"":""Polygon"",""coordinates"":[[[127.46379258,36.64305652],[127.46376669,36.64284559],[127.46369001,36.64264277],[127.46356549,36.64245585],[127.46339792,36.64229201],[127.46319372,36.64215755],[127.46296076,36.64205764],[127.46270799,36.64199612],[127.46244511,36.64197534],[127.46218223,36.64199612],[127.46192945,36.64205764],[127.46169649,36.64215755],[127.4614923,36.64229201],[127.46132473,36.64245585],[127.46120021,36.64264277],[127.46112353,36.64284559],[127.46109764,36.64305652],[127.46112353,36.64326745],[127.46120021,36.64347026],[127.46132473,36.64365718],[127.4614923,36.64382102],[127.46169649,36.64395547],[127.46192945,36.64405538],[127.46218223,36.64411691],[127.46244511,36.64413768],[127.46270799,36.64411691],[127.46296076,36.64405538],[127.46319372,36.64395547],[127.46339792,36.64382102],[127.46356549,36.64365718],[127.46369001,36.64347026],[127.46376669,36.64326745],[127.46379258,36.64305652]]]}"
6539814,2019056,43110102,43110001,충청북도 청주시1,충청북도 청주시 서원구 사창동(주성아파트9동 인근),54,78,0,10,68,0,127.460487422358,36.6339775828,"{""type"":""Polygon"",""coordinates"":[[[127.4618349,36.63397758],[127.461809,36.63376663],[127.46173233,36.63356379],[127.46160781,36.63337684],[127.46144023,36.63321299],[127.46123604,36.63307851],[127.46100308,36.63297859],[127.4607503,36.63291705],[127.46048742,36.63289628],[127.46022454,36.63291705],[127.45997177,36.63297859],[127.45973881,36.63307851],[127.45953462,36.63321299],[127.45936704,36.63337684],[127.45924252,36.63356379],[127.45916584,36.63376663],[127.45913995,36.63397758],[127.45916584,36.63418853],[127.45924252,36.63439138],[127.45936704,36.63457832],[127.45953462,36.63474217],[127.45973881,36.63487664],[127.45997177,36.63497657],[127.46022454,36.6350381],[127.46048742,36.63505887],[127.4607503,36.6350381],[127.46100308,36.63497657],[127.46123604,36.63487664],[127.46144023,36.63474217],[127.46160781,36.63457832],[127.46173233,36.63439138],[127.461809,36.63418853],[127.4618349,36.63397758]]]}"
6539815,2019056,43110117,43110002,충청북도 청주시2,충청북도 청주시 흥덕구 강서동(청주터미널앞사거리 인근),35,50,2,4,41,3,127.430727949337,36.625478993961,"{""type"":""Polygon"",""coordinates"":[[[127.43207542,36.62547899],[127.43204953,36.62526802],[127.43197285,36.62506515],[127.43184833,36.62487819],[127.43168076,36.62471431],[127.43147657,36.62457982],[127.4312436,36.62447989],[127.43099083,36.62441835],[127.43072795,36.62439757],[127.43046507,36.62441835],[127.43021229,36.62447989],[127.42997933,36.62457982],[127.42977514,36.62471431],[127.42960757,36.62487819],[127.42948305,36.62506515],[127.42940637,36.62526802],[127.42938048,36.62547899],[127.42940637,36.62568997],[127.42948305,36.62589283],[127.42960757,36.62607979],[127.42977514,36.62624367],[127.42997933,36.62637815],[127.43021229,36.62647809],[127.43046507,36.62653962],[127.43072795,36.6265604],[127.43099083,36.62653962],[127.4312436,36.62647809],[127.43147657,36.62637815],[127.43168076,36.62624367],[127.43184833,36.62607979],[127.43197285,36.62589283],[127.43204953,36.62568997],[127.43207542,36.62547899]]]}"
6539816,2019056,43110111,43110003,충청북도 청주시3,충청북도 청주시 상당구 석교동(청남빌딩 인근),32,37,0,11,26,0,127.490413418346,36.627039056908,"{""type"":""Polygon"",""coordinates"":[[[127.49176089,36.62703906],[127.491735,36.62682809],[127.49165832,36.62662522],[127.4915338,36.62643826],[127.49136623,36.62627439],[127.49116203,36.6261399],[127.49092907,36.62603997],[127.4906763,36.62597843],[127.49041342,36.62595765],[127.49015054,36.62597843],[127.48989776,36.62603997],[127.4896648,36.6261399],[127.48946061,36.62627439],[127.48929304,36.62643826],[127.48916852,36.62662522],[127.48909184,36.62682809],[127.48906595,36.62703906],[127.48909184,36.62725003],[127.48916852,36.62745289],[127.48929304,36.62763985],[127.48946061,36.62780372],[127.4896648,36.6279382],[127.48989776,36.62803813],[127.49015054,36.62809967],[127.49041342,36.62812044],[127.4906763,36.62809967],[127.49092907,36.62803813],[127.49116203,36.6279382],[127.49136623,36.62780372],[127.4915338,36.62763985],[127.49165832,36.62745289],[127.491735,36.62725003],[127.49176089,36.62703906]]]}"
6650226,2020087,4311010200,43110001,충청북도 청주시1,충청북도 청주시 서원구 사창동(사창사거리 인근),56,88,0,14,72,2,127.460164382282,36.634907215596,"{""type"":""Polygon"",""coordinates"":[[[127.46151186,36.63490722],[127.46148596,36.63469627],[127.46140928,36.63449342],[127.46128477,36.63430648],[127.46111719,36.63414263],[127.460913,36.63400815],[127.46068004,36.63390823],[127.46042726,36.6338467],[127.46016438,36.63382592],[127.4599015,36.6338467],[127.45964873,36.63390823],[127.45941577,36.63400815],[127.45921158,36.63414263],[127.459044,36.63430648],[127.45891948,36.63449342],[127.4588428,36.63469627],[127.45881691,36.63490722],[127.4588428,36.63511816],[127.45891948,36.635321],[127.459044,36.63550794],[127.45921158,36.6356718],[127.45941577,36.63580627],[127.45964873,36.63590619],[127.4599015,36.63596772],[127.46016438,36.63598849],[127.46042726,36.63596772],[127.46068004,36.63590619],[127.460913,36.63580627],[127.46111719,36.6356718],[127.46128477,36.63550794],[127.46140928,36.635321],[127.46148596,36.63511816],[127.46151186,36.63490722]]]}"
6650227,2020087,4311010200,43110002,충청북도 청주시2,충청북도 청주시 청원구 율량동(공항로74 인근),36,53,1,9,43,0,127.4869210064,36.664112701741,"{""type"":""Polygon"",""coordinates"":[[[127.48826848,36.6641127],[127.48824259,36.66390183],[127.48816591,36.66369907],[127.48804139,36.6635122],[127.48787381,36.6633484],[127.48766962,36.66321398],[127.48743666,36.6631141],[127.48718389,36.66305259],[127.48692101,36.66303182],[127.48665813,36.66305259],[127.48640535,36.6631141],[127.48617239,36.66321398],[127.4859682,36.6633484],[127.48580062,36.6635122],[127.4856761,36.66369907],[127.48559942,36.66390183],[127.48557353,36.6641127],[127.48559942,36.66432357],[127.4856761,36.66452633],[127.48580062,36.6647132],[127.4859682,36.66487699],[127.48617239,36.66501141],[127.48640535,36.66511129],[127.48665813,36.6651728],[127.48692101,36.66519357],[127.48718389,36.6651728],[127.48743666,36.66511129],[127.48766962,36.66501141],[127.48787381,36.66487699],[127.48804139,36.6647132],[127.48816591,36.66452633],[127.48824259,36.66432357],[127.48826848,36.6641127]]]}"
6650228,2020087,4311011100,43110003,충청북도 청주시3,충청북도 청주시 상당구 석교동(청남로2187 인근),30,43,0,8,35,0,127.490413418346,36.627039056908,"{""type"":""Polygon"",""coordinates"":[[[127.49176089,36.62703906],[127.491735,36.62682809],[127.49165832,36.62662522],[127.4915338,36.62643826],[127.49136623,36.62627439],[127.49116203,36.6261399],[127.49092907,36.62603997],[127.4906763,36.62597843],[127.49041342,36.62595765],[127.49015054,36.62597843],[127.48989776,36.62603997],[127.4896648,36.6261399],[127.48946061,36.62627439],[127.48929304,36.62643826],[127.48916852,36.62662522],[127.48909184,36.62682809],[127.48906595,36.62703906],[127.48909184,36.62725003],[127.48916852,36.62745289],[127.48929304,36.62763985],[127.48946061,36.62780372],[127.4896648,36.6279382],[127.48989776,36.62803813],[127.49015054,36.62809967],[127.49041342,36.62812044],[127.4906763,36.62809967],[127.49092907,36.62803813],[127.49116203,36.6279382],[127.49136623,36.62780372],[127.4915338,36.62763985],[127.49165832,36.62745289],[127.491735,36.62725003],[127.49176089,36.62703906]]]}"
6715883,2021056,4311010200,43110001,충청북도 청주시1,충청북도 청주시 서원구 사창동(사창사거리 인근),50,67,0,14,52,1,127.460164381382,36.634907216496,"{""type"":""Polygon"",""coordinates"":[[[127.46151185,36.63490722],[127.46148596,36.63469627],[127.46140928,36.63449343],[127.46128476,36.63430648],[127.46111719,36.63414263],[127.460913,36.63400816],[127.46068004,36.63390823],[127.46042726,36.6338467],[127.46016438,36.63382592],[127.4599015,36.6338467],[127.45964873,36.63390823],[127.45941577,36.63400816],[127.45921157,36.63414263],[127.459044,36.63430648],[127.45891948,36.63449343],[127.4588428,36.63469627],[127.45881691,36.63490722],[127.4588428,36.63511816],[127.45891948,36.63532101],[127.459044,36.63550794],[127.45921157,36.6356718],[127.45941577,36.63580627],[127.45964873,36.63590619],[127.4599015,36.63596772],[127.46016438,36.63598849],[127.46042726,36.63596772],[127.46068004,36.63590619],[127.460913,36.63580627],[127.46111719,36.6356718],[127.46128476,36.63550794],[127.46140928,36.63532101],[127.46148596,36.63511816],[127.46151185,36.63490722]]]}"
