연도코드,시군구코드,사고위험지역명,사고위험지역,사고위험지역폴리곤,총사고건수,총사망자수,총중상자수,총경상자수,총부상신고자수,사고분석유형명,중심점utmkx좌표,중심점utmky좌표
2017,43111,충청북도 청주시 상당구내에서 2017년도에 반경50m 이내 다른사고8건 이상 지역,37489,"POLYGON((1000129.7267 1845292.3791,1000131.1342 1845292.806,1000139.7785 1845297.4265,1000147.3553 1845303.6447,1000153.5735 1845311.2215,1000158.194 1845319.8658,1000161.0393 1845329.2455,1000162 1845339,1000161.0393 1845348.7545,1000158.194 1845358.1342,1000153.5735 1845366.7785,1000147.3553 1845374.3553,1000139.7785 1845380.5735,1000131.1342 1845385.194,1000124.4795 1845387.2127,1000122.5735 1845390.7785,1000116.3553 1845398.3553,1000108.7785 1845404.5735,1000100.1342 1845409.194,1000090.7545 1845412.0393,1000081 1845413,1000071.2455 1845412.0393,1000061.8658 1845409.194,1000053.2215 1845404.5735,1000049.0318 1845401.1351,1000042.7545 1845403.0393,1000033 1845404,1000023.2455 1845403.0393,1000013.8658 1845400.194,1000005.2215 1845395.5735,999997.6447 1845389.3553,999991.4265 1845381.7785,999986.806 1845373.1342,999983.9607 1845363.7545,999983 1845354,999983.9607 1845344.2455,999986.806 1845334.8658,999991.4265 1845326.2215,999997.6447 1845318.6447,999998.2657 1845318.135,1000001.4265 1845312.2215,1000007.6447 1845304.6447,1000015.2215 1845298.4265,1000023.8658 1845293.806,1000033.2455 1845290.9607,1000043 1845290,1000045.4176 1845290.2381,1000045.4265 1845290.2215,1000051.6447 1845282.6447,1000059.2215 1845276.4265,1000067.8658 1845271.806,1000077.2455 1845268.9607,1000087 1845268,1000096.7545 1845268.9607,1000106.1342 1845271.806,1000114.7785 1845276.4265,1000122.3553 1845282.6447,1000128.5735 1845290.2215,1000129.7267 1845292.3791))",10,0,1,17,1,기타,1000073.0,1845342.0
2017,43111,충청북도 청주시 상당구내에서 2017년도에 반경50m 이내 다른사고8건 이상 지역,37490,"POLYGON((1000808.9566 1846809.4967,1000814 1846809,1000823.7545 1846809.9607,1000833.1342 1846812.806,1000837.6684 1846815.2296,1000840 1846815,1000849.7545 1846815.9607,1000859.1342 1846818.806,1000867.7785 1846823.4265,1000875.3553 1846829.6447,1000881.5735 1846837.2215,1000886.194 1846845.8658,1000889.0393 1846855.2455,1000890 1846865,1000889.0393 1846874.7545,1000886.194 1846884.1342,1000881.5735 1846892.7785,1000875.3553 1846900.3553,1000867.7785 1846906.5735,1000866.4376 1846907.2902,1000867 1846913,1000866.0393 1846922.7545,1000863.194 1846932.1342,1000858.5735 1846940.7785,1000852.3553 1846948.3553,1000844.7785 1846954.5735,1000836.1342 1846959.194,1000826.7545 1846962.0393,1000817 1846963,1000807.2455 1846962.0393,1000797.8658 1846959.194,1000789.2215 1846954.5735,1000781.6447 1846948.3553,1000775.4265 1846940.7785,1000770.806 1846932.1342,1000767.9607 1846922.7545,1000767 1846913,1000767.8572 1846904.2965,1000765.2455 1846904.0393,1000755.8658 1846901.194,1000747.2215 1846896.5735,1000739.6447 1846890.3553,1000733.4265 1846882.7785,1000728.806 1846874.1342,1000725.9607 1846864.7545,1000725 1846855,1000725.4432 1846850.5,1000725 1846846,1000725.9607 1846836.2455,1000728.806 1846826.8658,1000733.4265 1846818.2215,1000739.6447 1846810.6447,1000747.2215 1846804.4265,1000755.8658 1846799.806,1000765.2455 1846796.9607,1000775 1846796,1000784.7545 1846796.9607,1000794.1342 1846799.806,1000802.7785 1846804.4265,1000808.9566 1846809.4967))",9,0,5,4,1,기타 / 안전거리미확보,1000807.0,1846873.0
2017,43111,충청북도 청주시 상당구내에서 2017년도에 반경50m 이내 다른사고8건 이상 지역,37491,"POLYGON((999664 1847073,999663.0393 1847082.7545,999660.194 1847092.1342,999659.7441 1847092.9759,999661.0393 1847097.2455,999662 1847107,999661.0393 1847116.7545,999658.194 1847126.1342,999653.5735 1847134.7785,999649.9237 1847139.2257,999650 1847140,999649.7683 1847142.3523,999650.0393 1847143.2455,999651 1847153,999650.0393 1847162.7545,999647.194 1847172.1342,999642.5735 1847180.7785,999636.3553 1847188.3553,999628.7785 1847194.5735,999620.1342 1847199.194,999610.7545 1847202.0393,999601 1847203,999591.2455 1847202.0393,999581.8658 1847199.194,999573.2215 1847194.5735,999565.6447 1847188.3553,999559.4265 1847180.7785,999554.806 1847172.1342,999551.9607 1847162.7545,999551.2703 1847155.7445,999548.806 1847151.1342,999548.7154 1847150.8356,999548.1752 1847149.8248,999540.2215 1847145.5735,999532.6447 1847139.3553,999526.4265 1847131.7785,999521.806 1847123.1342,999518.9607 1847113.7545,999518 1847104,999518.9607 1847094.2455,999521.806 1847084.8658,999526.4265 1847076.2215,999532.6447 1847068.6447,999540.2215 1847062.4265,999548.8658 1847057.806,999554.5485 1847056.0822,999560.2215 1847051.4265,999568.8658 1847046.806,999572.1047 1847045.8235,999572.4265 1847045.2215,999578.6447 1847037.6447,999586.2215 1847031.4265,999594.8658 1847026.806,999604.2455 1847023.9607,999614 1847023,999623.7545 1847023.9607,999633.1342 1847026.806,999641.7785 1847031.4265,999649.3553 1847037.6447,999655.5735 1847045.2215,999660.194 1847053.8658,999663.0393 1847063.2455,999664 1847073))",9,0,2,7,2,기타 / 신호위반 / 안전거리미확보,999597.0,1847110.0
2017,43111,충청북도 청주시 상당구내에서 2017년도에 반경50m 이내 다른사고8건 이상 지역,37492,"POLYGON((999957.067 1846453.3046,999964.7785 1846457.4265,999972.3553 1846463.6447,999978.5735 1846471.2215,999982.2466 1846478.0934,999985.3553 1846480.6447,999991.5735 1846488.2215,999996.194 1846496.8658,999999.0393 1846506.2455,1000000 1846516,999999.6599 1846519.4528,1000003.5735 1846524.2215,1000008.194 1846532.8658,1000011.0393 1846542.2455,1000012 1846552,1000011.0393 1846561.7545,1000008.194 1846571.1342,1000003.5735 1846579.7785,999997.3553 1846587.3553,999989.7785 1846593.5735,999981.1342 1846598.194,999971.7545 1846601.0393,999962 1846602,999952.2455 1846601.0393,999942.8658 1846598.194,999934.2215 1846593.5735,999926.6447 1846587.3553,999920.4265 1846579.7785,999915.806 1846571.1342,999912.9607 1846561.7545,999912.6227 1846558.3224,999911.2215 1846557.5735,999903.6447 1846551.3553,999899.1371 1846545.8629,999893.6447 1846541.3553,999887.4265 1846533.7785,999882.806 1846525.1342,999879.9607 1846515.7545,999879.0263 1846506.2673,999877.9607 1846502.7545,999877 1846493,999877.9607 1846483.2455,999880.806 1846473.8658,999885.4265 1846465.2215,999891.6447 1846457.6447,999899.2215 1846451.4265,999907.8658 1846446.806,999917.2455 1846443.9607,999927 1846443,999936.7545 1846443.9607,999946.1342 1846446.806,999954.7785 1846451.4265,999957.067 1846453.3046))",9,0,8,12,1,기타,999945.0,1846521.0
2017,43111,충청북도 청주시 상당구내에서 2017년도에 반경50m 이내 다른사고8건 이상 지역,37493,"POLYGON((1000595 1847918,1000594.0393 1847927.7545,1000591.194 1847937.1342,1000586.5735 1847945.7785,1000580.3553 1847953.3553,1000580.2155 1847953.4701,1000578.194 1847960.1342,1000574.5101 1847967.0262,1000575 1847972,1000574.0393 1847981.7545,1000571.194 1847991.1342,1000568.2467 1847996.6481,1000568.0393 1847998.7545,1000565.194 1848008.1342,1000560.5735 1848016.7785,1000554.3553 1848024.3553,1000546.7785 1848030.5735,1000538.1342 1848035.194,1000528.7545 1848038.0393,1000519 1848039,1000509.2455 1848038.0393,1000499.8658 1848035.194,1000493.1639 1848031.6117,1000491.7545 1848032.0393,1000490.874 1848032.126,1000485.1342 1848035.194,1000475.7545 1848038.0393,1000466 1848039,1000456.2455 1848038.0393,1000446.8658 1848035.194,1000438.2215 1848030.5735,1000430.6447 1848024.3553,1000424.4265 1848016.7785,1000419.806 1848008.1342,1000416.9607 1847998.7545,1000416 1847989,1000416.9607 1847979.2455,1000419.806 1847969.8658,1000424.4265 1847961.2215,1000430.6447 1847953.6447,1000438.2215 1847947.4265,1000440.2135 1847946.3618,1000442.4265 1847942.2215,1000448.6447 1847934.6447,1000456.2215 1847928.4265,1000464.8658 1847923.806,1000474.2455 1847920.9607,1000483.2961 1847920.0693,1000483.6447 1847919.6447,1000489.6101 1847914.749,1000490.4265 1847913.2215,1000496.6447 1847905.6447,1000496.7845 1847905.5299,1000498.806 1847898.8658,1000503.4265 1847890.2215,1000509.6447 1847882.6447,1000517.2215 1847876.4265,1000525.8658 1847871.806,1000535.2455 1847868.9607,1000545 1847868,1000554.7545 1847868.9607,1000564.1342 1847871.806,1000572.7785 1847876.4265,1000580.3553 1847882.6447,1000586.5735 1847890.2215,1000591.194 1847898.8658,1000594.0393 1847908.2455,1000595 1847918))",10,1,3,12,1,U턴중 / 기타 / 안전거리미확보,1000510.0,1847961.0
2017,43111,충청북도 청주시 상당구내에서 2017년도에 반경50m 이내 다른사고8건 이상 지역,37494,"POLYGON((999224 1848475,999223.0393 1848484.7545,999220.194 1848494.1342,999216.2606 1848501.493,999217 1848509,999216.0393 1848518.7545,999213.194 1848528.1342,999208.5735 1848536.7785,999202.3553 1848544.3553,999194.7785 1848550.5735,999186.1342 1848555.194,999176.7545 1848558.0393,999167 1848559,999165.4038 1848558.8428,999159.1342 1848562.194,999149.7545 1848565.0393,999140 1848566,999130.2455 1848565.0393,999120.8658 1848562.194,999116.5646 1848559.8949,999114.1342 1848561.194,999104.7545 1848564.0393,999095 1848565,999085.2455 1848564.0393,999075.8658 1848561.194,999067.2215 1848556.5735,999059.6447 1848550.3553,999053.4265 1848542.7785,999048.806 1848534.1342,999045.9607 1848524.7545,999045.1289 1848516.3089,999044.9607 1848515.7545,999044 1848506,999044.9607 1848496.2455,999047.806 1848486.8658,999052.4265 1848478.2215,999058.6447 1848470.6447,999066.2215 1848464.4265,999074.8658 1848459.806,999084.2455 1848456.9607,999094 1848456,999103.7545 1848456.9607,999113.1342 1848459.806,999119.7774 1848463.3569,999123.6447 1848458.6447,999128.4119 1848454.7323,999132.4265 1848447.2215,999138.6447 1848439.6447,999146.2215 1848433.4265,999154.8658 1848428.806,999164.2455 1848425.9607,999174 1848425,999183.7545 1848425.9607,999193.1342 1848428.806,999201.7785 1848433.4265,999209.3553 1848439.6447,999215.5735 1848447.2215,999220.194 1848455.8658,999223.0393 1848465.2455,999224 1848475))",9,0,1,8,0,기타,999137.0,1848500.0
2017,43111,충청북도 청주시 상당구내에서 2017년도에 반경50m 이내 다른사고8건 이상 지역,37495,"POLYGON((999250 1848170,999249.0393 1848179.7545,999246.5469 1848187.9706,999247.5735 1848189.2215,999252.194 1848197.8658,999255.0393 1848207.2455,999256 1848217,999255.0393 1848226.7545,999252.194 1848236.1342,999247.5735 1848244.7785,999242.2891 1848251.2175,999242.0393 1848253.7545,999241.2877 1848256.2321,999241.0393 1848258.7545,999239.5673 1848263.6069,999240 1848268,999239.0393 1848277.7545,999237.0867 1848284.1913,999239.5735 1848287.2215,999244.194 1848295.8658,999247.0393 1848305.2455,999248 1848315,999247.0393 1848324.7545,999244.194 1848334.1342,999239.5735 1848342.7785,999233.3553 1848350.3553,999225.7785 1848356.5735,999217.1342 1848361.194,999207.7545 1848364.0393,999198 1848365,999188.2455 1848364.0393,999178.8658 1848361.194,999176.8094 1848360.0948,999176.2455 1848360.0393,999166.8658 1848357.194,999158.2215 1848352.5735,999150.6447 1848346.3553,999144.4265 1848338.7785,999139.806 1848330.1342,999136.9607 1848320.7545,999136 1848311,999136.9607 1848301.2455,999137.7575 1848298.6188,999135.4265 1848295.7785,999130.806 1848287.1342,999127.9607 1848277.7545,999127 1848268,999127.9607 1848258.2455,999130.806 1848248.8658,999135.4265 1848240.2215,999141.6447 1848232.6447,999143.5286 1848231.0986,999139.806 1848224.1342,999136.9607 1848214.7545,999136 1848205,999136.9607 1848195.2455,999139.806 1848185.8658,999142.5118 1848180.8037,999142.9607 1848176.2455,999145.806 1848166.8658,999150.4265 1848158.2215,999152.248 1848156.002,999153.806 1848150.8658,999158.4265 1848142.2215,999164.6447 1848134.6447,999172.2215 1848128.4265,999180.8658 1848123.806,999190.2455 1848120.9607,999200 1848120,999209.7545 1848120.9607,999219.1342 1848123.806,999227.7785 1848128.4265,999235.3553 1848134.6447,999241.5735 1848142.2215,999246.194 1848150.8658,999249.0393 1848160.2455,999250 1848170))",13,1,6,19,0,기타,999193.0,1848243.0
2017,43111,충청북도 청주시 상당구내에서 2017년도에 반경50m 이내 다른사고8건 이상 지역,37496,"POLYGON((999130 1847561,999129.0393 1847570.7545,999126.8949 1847577.8234,999130.1342 1847578.806,999138.7785 1847583.4265,999146.3553 1847589.6447,999152.5735 1847597.2215,999157.194 1847605.8658,999160.0393 1847615.2455,999160.8317 1847623.2908,999167.3553 1847628.6447,999172.7005 1847635.1577,999178.1342 1847636.806,999186.7785 1847641.4265,999194.3553 1847647.6447,999200.5735 1847655.2215,999205.194 1847663.8658,999208.0393 1847673.2455,999209 1847683,999208.0393 1847692.7545,999206.6716 1847697.2631,999213.7545 1847697.9607,999223.1342 1847700.806,999231.7785 1847705.4265,999239.3553 1847711.6447,999245.5735 1847719.2215,999250.194 1847727.8658,999253.0393 1847737.2455,999253.2029 1847738.9064,999253.7545 1847738.9607,999263.1342 1847741.806,999271.7785 1847746.4265,999279.3553 1847752.6447,999282.5151 1847756.4948,999290.1342 1847758.806,999298.7785 1847763.4265,999306.3553 1847769.6447,999309.2065 1847773.1188,999317.7545 1847773.9607,999327.1342 1847776.806,999335.7785 1847781.4265,999343.3553 1847787.6447,999349.5735 1847795.2215,999354.194 1847803.8658,999357.0393 1847813.2455,999358 1847823,999357.0393 1847832.7545,999354.194 1847842.1342,999349.5735 1847850.7785,999343.3553 1847858.3553,999335.7785 1847864.5735,999327.1342 1847869.194,999317.7545 1847872.0393,999308 1847873,999298.2455 1847872.0393,999297.2386 1847871.7338,999293.7785 1847874.5735,999285.1342 1847879.194,999275.7545 1847882.0393,999266 1847883,999261.8791 1847882.5941,999258.5735 1847888.7785,999252.3553 1847896.3553,999244.7785 1847902.5735,999236.1342 1847907.194,999226.7545 1847910.0393,999217 1847911,999207.2455 1847910.0393,999197.8658 1847907.194,999189.2215 1847902.5735,999181.6447 1847896.3553,999175.4265 1847888.7785,999170.806 1847880.1342,999170.3531 1847878.6412,999165.806 1847870.1342,999162.9607 1847860.7545,999162.653 1847857.6296,999159.9607 1847848.7545,999159 1847839,999159.9607 1847829.2455,999162.1876 1847821.9043,999156.6447 1847817.3553,999150.4265 1847809.7785,999145.806 1847801.1342,999145.7154 1847800.8356,999144.806 1847799.1342,999141.9607 1847789.7545,999141 1847780,999141.9607 1847770.2455,999142.8429 1847767.3375,999141.8455 1847767.2393,999132.4658 1847764.394,999123.8215 1847759.7735,999116.2447 1847753.5553,999110.0265 1847745.9785,999105.406 1847737.3342,999102.5607 1847727.9545,999101.8678 1847720.9189,999101.2215 1847720.5735,999093.6447 1847714.3553,999087.4265 1847706.7785,999084.3094 1847700.9469,999078.4265 1847693.7785,999073.806 1847685.1342,999071.3907 1847677.1718,999069.4265 1847674.7785,999064.806 1847666.1342,999062.8566 1847659.7079,999057.8658 1847658.194,999049.2999 1847653.6154,999042.9658 1847651.694,999034.3215 1847647.0735,999026.7447 1847640.8553,999020.5265 1847633.2785,999017.4077 1847627.4436,999013.6447 1847624.3553,999007.4265 1847616.7785,999002.9697 1847608.4404,999002.4265 1847607.7785,998997.806 1847599.1342,998994.9607 1847589.7545,998994 1847580,998994.9607 1847570.2455,998997.806 1847560.8658,999002.4265 1847552.2215,999008.6447 1847544.6447,999015.1934 1847539.2703,999018.4265 1847533.2215,999024.6447 1847525.6447,999032.2215 1847519.4265,999040.8658 1847514.806,999050.2455 1847511.9607,999060 1847511,999069.7545 1847511.9607,999070 1847512.0352,999070.2455 1847511.9607,999080 1847511,999089.7545 1847511.9607,999099.1342 1847514.806,999107.7785 1847519.4265,999115.3553 1847525.6447,999121.5735 1847533.2215,999126.194 1847541.8658,999129.0393 1847551.2455,999130 1847561))",40,1,11,46,0,기타 / 안전거리미확보,999169.0,1847718.0
2017,43111,충청북도 청주시 상당구내에서 2017년도에 반경50m 이내 다른사고8건 이상 지역,37497,"POLYGON((999485 1847407,999484.0393 1847416.7545,999483.7683 1847417.6477,999484 1847420,999483.0393 1847429.7545,999480.194 1847439.1342,999478.7191 1847441.8935,999480.0393 1847446.2455,999481 1847456,999480.0393 1847465.7545,999477.194 1847475.1342,999472.5735 1847483.7785,999466.3553 1847491.3553,999458.7785 1847497.5735,999450.1342 1847502.194,999447.2258 1847503.0762,999445.3553 1847505.3553,999437.7785 1847511.5735,999429.1342 1847516.194,999419.7545 1847519.0393,999410 1847520,999400.2455 1847519.0393,999390.8658 1847516.194,999388.8306 1847515.1061,999385.7545 1847516.0393,999376 1847517,999366.2455 1847516.0393,999356.8658 1847513.194,999348.2215 1847508.5735,999347.0672 1847507.6262,999344.1342 1847509.194,999334.7545 1847512.0393,999325 1847513,999315.2455 1847512.0393,999305.8658 1847509.194,999297.2215 1847504.5735,999289.6447 1847498.3553,999283.4265 1847490.7785,999278.806 1847482.1342,999275.9607 1847472.7545,999275 1847463,999275.9607 1847453.2455,999278.806 1847443.8658,999283.4265 1847435.2215,999289.6447 1847427.6447,999297.2215 1847421.4265,999305.8658 1847416.806,999315.2455 1847413.9607,999325 1847413,999334.7545 1847413.9607,999342.9706 1847416.4531,999344.2215 1847415.4265,999352.8658 1847410.806,999362.2455 1847407.9607,999372 1847407,999372.0876 1847407.0086,999372.2455 1847406.9607,999382 1847406,999385 1847406.2955,999385.0473 1847406.2908,999385.0701 1847406.2886,999385.9607 1847397.2455,999388.806 1847387.8658,999393.4265 1847379.2215,999399.6447 1847371.6447,999407.2215 1847365.4265,999415.8658 1847360.806,999425.2455 1847357.9607,999435 1847357,999444.7545 1847357.9607,999454.1342 1847360.806,999462.7785 1847365.4265,999470.3553 1847371.6447,999476.5735 1847379.2215,999481.194 1847387.8658,999484.0393 1847397.2455,999485 1847407))",14,0,7,17,0,기타 / 신호위반 / 안전거리미확보,999390.0,1847447.0
2017,43111,충청북도 청주시 상당구내에서 2017년도에 반경50m 이내 다른사고8건 이상 지역,37498,"POLYGON((999940.194 1847401.8658,999940.2032 1847401.8963,999940.6091 1847402.3909,999943.3553 1847404.6447,999949.5735 1847412.2215,999954.194 1847420.8658,999957.0393 1847430.2455,999958 1847440,999957.0393 1847449.7545,999956.7514 1847450.7034,999959.0393 1847458.2455,999960 1847468,999959.0393 1847477.7545,999956.194 1847487.1342,999951.5735 1847495.7785,999945.3553 1847503.3553,999944.2568 1847504.2568,999943.3553 1847505.3553,999935.7785 1847511.5735,999927.1342 1847516.194,999925.796 1847516.5999,999924.3553 1847518.3553,999916.7785 1847524.5735,999908.1342 1847529.194,999898.7545 1847532.0393,999889 1847533,999879.2455 1847532.0393,999869.8658 1847529.194,999861.2215 1847524.5735,999853.6447 1847518.3553,999847.4265 1847510.7785,999842.806 1847502.1342,999842.5865 1847501.4104,999840.4265 1847498.7785,999835.806 1847490.1342,999832.9607 1847480.7545,999832 1847471,999832.197 1847469,999832 1847467,999832.9607 1847457.2455,999835.806 1847447.8658,999840.4265 1847439.2215,999845.6123 1847432.9026,999844.9607 1847430.7545,999844 1847421,999844.9607 1847411.2455,999847.806 1847401.8658,999852.4265 1847393.2215,999858.6447 1847385.6447,999866.2215 1847379.4265,999874.8658 1847374.806,999884.2455 1847371.9607,999894 1847371,999903.7545 1847371.9607,999913.1342 1847374.806,999921.7785 1847379.4265,999929.3553 1847385.6447,999935.5735 1847393.2215,999940.194 1847401.8658))",13,0,4,11,1,기타,999895.0,1847453.0
